# z.B. https://cloud.bwfor.uni-freiburg.de/anon/usage/chart/usage_type_percent/
Month,Bare-Metal,Virtualized Research Environments (VRE),NEMO without shareholder nodes
2016-09,4.84,33.80,91.12
2016-10,9.82,28.74,92.61
2016-11,18.34,20.53,91.99
2016-12,14.46,50.42,92.64
2017-01,24.11,33.42,92.33
2017-02,38.60,31.21,95.42
2017-03,55.19,17.52,91.93
2017-04,58.08,16.21,90.37
2017-05,50.20,38.50,90.37
2017-06,68.46,24.65,90.37
2017-07,84.06,15.58,90.37
2017-08,88.81,3.03,90.37
2017-09,74.31,21.83,90.37
2017-10,60.39,8.08,78.94
2017-11,49.75,15.64,75.11
2017-12,49.53,14.59,75.80
2018-01,60.83,16.04,75.38
2018-02,71.24,17.61,75.42
2018-03,71.08,14.44,76.69
2018-04,71.09,26.57,75.11
2018-05,80.50,13.72,75.11
2018-06,83.02,2.65,76.00
2018-07,67.38,9.92,76.07
2018-08,75.95,11.56,75.33
2018-09,87.11,8.52,75.50
